End Date,counts
2020-12-30 00:00:00,101
2020-12-30 01:00:00,63
2020-12-30 02:00:00,45
2020-12-30 03:00:00,28
2020-12-30 04:00:00,35
2020-12-30 05:00:00,35
2020-12-30 06:00:00,86
2020-12-30 07:00:00,227
2020-12-30 08:00:00,360
2020-12-30 09:00:00,448
2020-12-30 10:00:00,675
2020-12-30 11:00:00,1041
2020-12-30 12:00:00,1429
2020-12-30 13:00:00,1796
2020-12-30 14:00:00,1965
2020-12-30 15:00:00,2093
2020-12-30 16:00:00,1917
2020-12-30 17:00:00,1274
2020-12-30 18:00:00,963
2020-12-30 19:00:00,801
2020-12-30 20:00:00,539
2020-12-30 21:00:00,416
2020-12-30 22:00:00,274
2020-12-30 23:00:00,176
2020-12-31 00:00:00,153
2020-12-31 01:00:00,97
2020-12-31 02:00:00,45
2020-12-31 03:00:00,50
2020-12-31 04:00:00,46
2020-12-31 05:00:00,28
2020-12-31 06:00:00,97
2020-12-31 07:00:00,221
2020-12-31 08:00:00,338
2020-12-31 09:00:00,464
2020-12-31 10:00:00,623
2020-12-31 11:00:00,897
2020-12-31 12:00:00,1201
2020-12-31 13:00:00,1457
2020-12-31 14:00:00,1478
2020-12-31 15:00:00,1556
2020-12-31 16:00:00,1469
2020-12-31 17:00:00,1006
2020-12-31 18:00:00,748
2020-12-31 19:00:00,620
2020-12-31 20:00:00,528
2020-12-31 21:00:00,398
2020-12-31 22:00:00,444
2020-12-31 23:00:00,555
2021-01-01 00:00:00,569
2021-01-01 01:00:00,535
2021-01-01 02:00:00,318
2021-01-01 03:00:00,236
2021-01-01 04:00:00,147
2021-01-01 05:00:00,94
2021-01-01 06:00:00,69
2021-01-01 07:00:00,84
2021-01-01 08:00:00,130
2021-01-01 09:00:00,156
2021-01-01 10:00:00,294
2021-01-01 11:00:00,496
2021-01-01 12:00:00,681
2021-01-01 13:00:00,1059
2021-01-01 14:00:00,1196
2021-01-01 15:00:00,1262
2021-01-01 16:00:00,1154
2021-01-01 17:00:00,800
2021-01-01 18:00:00,509
2021-01-01 19:00:00,436
2021-01-01 20:00:00,357
2021-01-01 21:00:00,251
2021-01-01 22:00:00,192
2021-01-01 23:00:00,125
2021-01-02 00:00:00,102
2021-01-02 01:00:00,53
2021-01-02 02:00:00,31
2021-01-02 03:00:00,31
2021-01-02 04:00:00,33
2021-01-02 05:00:00,28
2021-01-02 06:00:00,60
2021-01-02 07:00:00,77
2021-01-02 08:00:00,165
2021-01-02 09:00:00,280
2021-01-02 10:00:00,505
2021-01-02 11:00:00,836
2021-01-02 12:00:00,1355
2021-01-02 13:00:00,2028
2021-01-02 14:00:00,2606
2021-01-02 15:00:00,2634
2021-01-02 16:00:00,2260
2021-01-02 17:00:00,1316
2021-01-02 18:00:00,839
2021-01-02 19:00:00,642
2021-01-02 20:00:00,554
2021-01-02 21:00:00,382
2021-01-02 22:00:00,293
2021-01-02 23:00:00,200
2021-01-03 00:00:00,145
2021-01-03 01:00:00,82
2021-01-03 02:00:00,69
2021-01-03 03:00:00,20
2021-01-03 04:00:00,21
2021-01-03 05:00:00,15
2021-01-03 06:00:00,42
2021-01-03 07:00:00,94
2021-01-03 08:00:00,124
2021-01-03 09:00:00,245
2021-01-03 10:00:00,546
2021-01-03 11:00:00,898
2021-01-03 12:00:00,1388
2021-01-03 13:00:00,2056
2021-01-03 14:00:00,2381
2021-01-03 15:00:00,1779
2021-01-03 16:00:00,1054
2021-01-03 17:00:00,733
2021-01-03 18:00:00,464
2021-01-03 19:00:00,411
2021-01-03 20:00:00,335
2021-01-03 21:00:00,244
2021-01-03 22:00:00,203
2021-01-03 23:00:00,114
2021-01-04 00:00:00,100
2021-01-04 01:00:00,62
2021-01-04 02:00:00,51
2021-01-04 03:00:00,27
2021-01-04 04:00:00,26
2021-01-04 05:00:00,48
2021-01-04 06:00:00,187
2021-01-04 07:00:00,603
2021-01-04 08:00:00,812
2021-01-04 09:00:00,588
2021-01-04 10:00:00,436
2021-01-04 11:00:00,419
2021-01-04 12:00:00,516
2021-01-04 13:00:00,544
2021-01-04 14:00:00,558
2021-01-04 15:00:00,713
2021-01-04 16:00:00,944
2021-01-04 17:00:00,1033
2021-01-04 18:00:00,913
2021-01-04 19:00:00,668
2021-01-04 20:00:00,389
2021-01-04 21:00:00,284
2021-01-04 22:00:00,233
2021-01-04 23:00:00,143
2021-01-05 00:00:00,90
2021-01-05 01:00:00,44
2021-01-05 02:00:00,56
2021-01-05 03:00:00,29
2021-01-05 04:00:00,40
2021-01-05 05:00:00,55
2021-01-05 06:00:00,197
2021-01-05 07:00:00,583
2021-01-05 08:00:00,758
2021-01-05 09:00:00,627
2021-01-05 10:00:00,462
2021-01-05 11:00:00,480
2021-01-05 12:00:00,555
2021-01-05 13:00:00,627
2021-01-05 14:00:00,575
2021-01-05 15:00:00,550
2021-01-05 16:00:00,640
2021-01-05 17:00:00,762
2021-01-05 18:00:00,860
2021-01-05 19:00:00,574
2021-01-05 20:00:00,350
2021-01-05 21:00:00,266
2021-01-05 22:00:00,195
2021-01-05 23:00:00,101
